Existing NDA structure,ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,csv_names,ALIASES
assist01,chrassist_tobacco,Integer,Severity of use: tobacco,0::39;-900;-300,"chrassist_tobacco       = 0 if chrassist_whoassist_use1 == 0, else chrassist_whoassist_often1 + chrassist_whoassist_urge1 + chrassist_whoassist_prob1 + chrassist_whoassist_fail1 +  chrassist_whoassist_concern1 + chrassist_whoassist_control1",assist.csv,
assist01,chrassist_alcohol,Integer,Severity of use: alcohol,0::39;-900;-300,"chrassist_alcohol       = 0 if chrassist_whoassist_use2 == 0, else chrassist_whoassist_often2 + chrassist_whoassist_urge2 + chrassist_whoassist_prob2 + chrassist_whoassist_fail2 +  chrassist_whoassist_concern2 + chrassist_whoassist_control2",assist.csv,
assist01,chrassist_cannabis,Integer,Severity of use: cannabis,0::39;-900;-300,"chrassist_cannabis      = 0 if chrassist_whoassist_use3 == 0, else chrassist_whoassist_often3 + chrassist_whoassist_urge3 + chrassist_whoassist_prob3 + chrassist_whoassist_fail3 +  chrassist_whoassist_concern3 + chrassist_whoassist_control3",assist.csv,
assist01,chrassist_cocaine,Integer,Severity of use: cocaine,0::39;-900;-300,"chrassist_cocaine       = 0 if chrassist_whoassist_use4 == 0, else chrassist_whoassist_often4 + chrassist_whoassist_urge4 + chrassist_whoassist_prob4 + chrassist_whoassist_fail4 +  chrassist_whoassist_concern4 + chrassist_whoassist_control4",assist.csv,
assist01,chrassist_amphetamines,Integer,Severity of use: amphetamines,0::39;-900;-300,"chrassist_amphetamines  = 0 if chrassist_whoassist_use5 == 0, else chrassist_whoassist_often5 + chrassist_whoassist_urge5 + chrassist_whoassist_prob5 + chrassist_whoassist_fail5 +  chrassist_whoassist_concern5 + chrassist_whoassist_control5",assist.csv,
assist01,chrassist_inhalants,Integer,Severity of use: inhalants,0::39;-900;-300,"chrassist_inhalants     = 0 if chrassist_whoassist_use6 == 0, else chrassist_whoassist_often6 + chrassist_whoassist_urge6 + chrassist_whoassist_prob6 + chrassist_whoassist_fail6 +  chrassist_whoassist_concern6 + chrassist_whoassist_control6",assist.csv,
assist01,chrassist_sedatives,Integer,Severity of use: sedatives,0::39;-900;-300,"chrassist_sedatives     = 0 if chrassist_whoassist_use7 == 0, else chrassist_whoassist_often7 + chrassist_whoassist_urge7 + chrassist_whoassist_prob7 + chrassist_whoassist_fail7 +  chrassist_whoassist_concern7 + chrassist_whoassist_control7",assist.csv,
assist01,chrassist_hallucinogens,Integer,Severity of use: hallucinogens,0::39;-900;-300,"chrassist_hallucinogens = 0 if chrassist_whoassist_use8 == 0, else chrassist_whoassist_often8 + chrassist_whoassist_urge8 + chrassist_whoassist_prob8 + chrassist_whoassist_fail8 +  chrassist_whoassist_concern8 + chrassist_whoassist_control8",assist.csv,
assist01,chrassist_opiods,Integer,Severity of use: opiods,0::39;-900;-300,"chrassist_opiods        = 0 if chrassist_whoassist_use9 == 0, else chrassist_whoassist_often9 + chrassist_whoassist_urge9 + chrassist_whoassist_prob9 + chrassist_whoassist_fail9 +  chrassist_whoassist_concern9 + chrassist_whoassist_control9",assist.csv,
assist01,chrassist_other,Integer,Severity of use: other,0::39;-900;-300,"chrassist_other         = 0 if chrassist_whoassist_use10 == 0, else chrassist_whoassist_often10 + chrassist_whoassist_urge10 + chrassist_whoassist_prob10 + chrassist_whoassist_fail10 +  chrassist_whoassist_concern10 + chrassist_whoassist_control10",assist.csv,
,,,,,,,
pmod01,chrpas_childhood_subtotal,Float,Premorbid Adjustment Scale (PAS): Childhood,0::24;-900;-300,(chrpas_pmod_child1+chrpas_pmod_child2+chrpas_pmod_child3+chrpas_pmod_child4)/24,premorbid_adjustment_scale.csv,
pmod01,chrpas_early_adolescence_subtotal,Float,PAS: Early Adolescence,0::30;-900;-300,(chrpas_pmod_adol_early1+chrpas_pmod_adol_early2+chrpas_pmod_adol_early3+chrpas_pmod_adol_early4+chrpas_pmod_adol_early5)/30,premorbid_adjustment_scale.csv,
pmod01,chrpas_late_adolescence_subtotal,Float,PAS: Late Adolescence,0::30;-900;-300,(chrpas_pmod_adol_late1+chrpas_pmod_adol_late2+chrpas_pmod_adol_late3+chrpas_pmod_adol_late4+chrpas_pmod_adol_late5)/30,premorbid_adjustment_scale.csv,
